VTDID,PCTNAME,PCTCODE,MCDNAME,COUNTYNAME,COUNTYCODE,CONGDIST,MNSENDIST,MNLEGDIST,CTYCOMDIST,JUDDIST,SWCDIST,WARD,HOSPDIST,PARKDIST,TABMODEL,MAILBALLOT,REG7AM,EDR,SIGNATURES,AB_MB,FEDONLYAB,PRESONLYAB,TOTVOTING,USPRSR,USPRSDFL,USPRSLIB,USPRSWTP,USPRSG,USPRSSLP,USPRSSWP,USPRSJFA,USPRSIND,USPRSWI,USPRSTOTAL,USSENR,USSENDFL,USSENLIB,USSENIA,USSENWI,USSENTOTAL,USREPR,USREPDFL,USREPWI,USREPTOTAL,MNSENR,MNSENDFL,MNSENWI,MNSENTOTAL,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOTAL,MNCA1YES,MNCA1NO,MNCA1EST,MNCA1TOTAL
270190055,Chaska W-4,0055,Chaska,Carver,10,6,48,48B,01,01,4019,W-04,no data,no data,Digital Scan 200,NO,4151,359,1766,1850,8,0,3624,1577,1932,17,35,14,0,0,2,3,20,3600,1391,1995,61,78,2,3527,1688,1790,2,3480,0,0,0,0,1691,1793,4,3488,2821,517,286,3624
270190065,Cologne,0065,Cologne,Carver,10,6,48,48A,05,01,4023,no data,no data,no data,Digital Scan 200,NO,1446,80,1087,247,0,0,1334,832,467,4,14,5,1,0,0,1,4,1328,725,541,24,22,0,1312,865,432,1,1298,0,0,0,0,869,423,3,1295,1012,249,73,1334
270190070,Dahlgren Twp,0070,Dahlgren Twp,Carver,10,6,17,17B,05,01,4023,no data,no data,no data,Digital Scan 200,NO,977,44,677,242,0,0,919,592,306,4,8,1,0,0,0,1,3,915,523,359,10,9,0,901,607,281,0,888,0,0,0,0,585,292,1,878,617,261,41,919
270190075,Hamburg,0075,Hamburg,Carver,10,6,17,17B,05,01,4023,no data,no data,no data,Digital Scan 200,NO,352,25,291,33,0,0,324,252,65,1,3,3,0,0,0,0,0,324,223,88,3,1,0,315,248,65,0,313,0,0,0,0,244,63,0,307,205,99,20,324
270190080,Hancock Twp,0080,Hancock Twp,Carver,10,6,17,17B,05,01,4023,no data,no data,no data,Digital Scan 200,NO,235,8,179,41,0,0,220,160,57,1,1,0,0,0,0,0,0,219,138,76,0,1,0,215,170,43,0,213,0,0,0,0,169,45,0,214,125,81,14,220
270190085,Hollywood Twp,0085,Hollywood Twp,Carver,10,6,17,17B,04,01,4022,no data,no data,no data,Digital Scan 200,NO,760,32,632,64,0,0,696,521,163,1,5,2,0,0,0,1,2,695,455,214,11,2,0,682,527,155,1,683,0,0,0,0,517,147,2,666,446,197,53,696
270190090,Laketown Twp,0090,Laketown Twp,Carver,10,6,48,48A,04,01,4022,no data,no data,no data,Digital Scan 200,NO,1257,129,888,327,4,0,1219,773,416,10,7,2,0,0,0,1,3,1212,676,498,11,18,0,1203,819,368,1,1188,0,0,0,0,836,341,1,1178,860,261,98,1219
270190095,Mayer,0095,Mayer,Carver,10,6,48,48A,04,01,4022,no data,no data,no data,Digital Scan 200,NO,1602,104,1266,213,0,0,1478,1053,400,1,16,0,0,0,1,1,5,1477,939,470,32,16,0,1457,1056,380,6,1442,0,0,0,0,1091,346,1,1438,1036,349,93,1478
270190100,New Germany,0100,New Germany,Carver,10,6,17,17B,05,01,4023,no data,no data,no data,Digital Scan 200,NO,274,22,222,23,0,0,242,187,50,1,0,0,0,0,0,1,1,240,169,60,7,3,0,239,186,49,0,235,0,0,0,0,180,49,0,229,158,68,16,242
270190105,Norwood Young America,0105,Norwood Young America,Carver,10,6,17,17B,05,01,4023,no data,no data,no data,Digital Scan 200,NO,2514,197,1817,439,1,0,2257,1471,731,10,19,3,1,2,0,5,2,2244,1260,886,30,36,0,2212,1516,668,2,2186,0,0,0,0,1477,672,4,2153,1592,509,156,2257
