county_code,county,office,district,party,candidate,votes,pct
21,Douglas,U.S. Senate,,R,Rod Grams,8783,52.35
22,Faribault,President,,DFL,Al Gore,3624,43.74
22,Faribault,President,,GP,Ralph Nader,309,3.73
22,Faribault,President,,LIB,Harry Browne,6,0.07
22,Faribault,President,,R,George W. Bush,4336,52.33
22,Faribault,President,,RP,Pat Buchanan,11,0.13
22,Faribault,U.S. Senate,,DFL,Mark Dayton,3949,47.99
22,Faribault,U.S. Senate,,IND,Jim Gibson,312,3.79
22,Faribault,U.S. Senate,,R,Rod Grams,3967,48.21
23,Fillmore,President,,DFL,Al Gore,5020,49.62
23,Fillmore,President,,GP,Ralph Nader,409,4.04
23,Fillmore,President,,LIB,Harry Browne,32,0.32
23,Fillmore,President,,R,George W. Bush,4646,45.92
23,Fillmore,President,,RP,Pat Buchanan,10,0.10
23,Fillmore,U.S. Senate,,DFL,Mark Dayton,4976,50.02
23,Fillmore,U.S. Senate,,IND,Jim Gibson,225,2.26
23,Fillmore,U.S. Senate,,R,Rod Grams,4747,47.72
24,Freeborn,President,,DFL,Al Gore,8514,53.33
24,Freeborn,President,,GP,Ralph Nader,555,3.48
24,Freeborn,President,,LIB,Harry Browne,33,0.21
24,Freeborn,President,,R,George W. Bush,6843,42.86
24,Freeborn,President,,RP,Pat Buchanan,20,0.13
24,Freeborn,U.S. Senate,,DFL,Mark Dayton,8642,54.42
24,Freeborn,U.S. Senate,,IND,Jim Gibson,577,3.63
24,Freeborn,U.S. Senate,,R,Rod Grams,6660,41.94
25,Goodhue,President,,DFL,Al Gore,9981,45.41
25,Goodhue,President,,GP,Ralph Nader,1093,4.97
25,Goodhue,President,,LIB,Harry Browne,34,0.15
25,Goodhue,President,,R,George W. Bush,10852,49.37
25,Goodhue,President,,RP,Pat Buchanan,20,0.09
25,Goodhue,U.S. Senate,,DFL,Mark Dayton,9939,45.58
25,Goodhue,U.S. Senate,,IND,Jim Gibson,1187,5.44
25,Goodhue,U.S. Senate,,R,Rod Grams,10679,48.98
26,Grant,President,,DFL,Al Gore,1507,42.62
26,Grant,President,,GP,Ralph Nader,214,6.05
26,Grant,President,,LIB,Harry Browne,4,0.11
26,Grant,President,,R,George W. Bush,1804,51.02
26,Grant,President,,RP,Pat Buchanan,7,0.20
